Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
loginTestRunCollection,Edge Chromium 125,,,29-05-2024 13:20:56,29-05-2024 13:21:17,21.177s,PASSED
,,,,,,,
Test Cases/loginRunTime,Edge Chromium 125,,,29-05-2024 13:20:56,29-05-2024 13:21:17,20.815s,PASSED
"callTestCase(findTestCase(""login""), [""username"":""standard_user"", ""password"":""secret_sauce"", ""url"":""https://www.saucedemo.com/v1/""], STOP_ON_FAILURE)",Edge Chromium 125,,,29-05-2024 13:20:57,29-05-2024 13:21:17,20.138s,PASSED
